df2_No,df2_地区名,df2_施設名,df2_住所,df2_地震,df2_津波,df2_高潮,df2_洪水,df2_土砂,df2_z,共通ID,市町村,更新日
52,桑原,松山東雲女子大学・短期大学（体育館）,松山市桑原3-2-1,○,○,○,○,○,42.92,E3820100107111,松山市,2025/1/16
53,桑原,愛媛慈恵会地域交流ホーム,松山市束本2-13-3,○,○,○,△,○,30.58,E3820100322111,松山市,2025/1/16
54,桑原,愛媛県研修所（講堂兼体育館）,松山市東野4-225,×,○,○,○,○,70.8,E3820100663111,松山市,2025/1/16
55,道後,道後公民館,松山市道後町1-5-31,○,○,○,△,○,38.6,E3820100446111,松山市,2025/1/16
56,道後,道後小学校,松山市石手4-10-5,○,○,○,△,○,42.9,E3820100302111,松山市,2025/1/16
57,道後,湯築小学校,松山市道後北代10-41,○,○,○,△,○,33.2,E3820100450111,松山市,2025/1/16
58,道後,道後中学校,松山市上市1-3-57,○,○,○,△,○,40.5,E3820100244111,松山市,2025/1/16
59,道後,道後保育園,松山市道後姫塚123-1,○,○,○,○,×,53.3,E3820100448111,松山市,2025/1/16
60,道後,道後公民館祝谷分館,松山市祝谷5-7-15,○,○,○,○,△,44.8,E3820100209111,松山市,2025/1/16
61,道後,道後公民館祝谷東町分館,松山市祝谷東町乙742-34,×,○,○,○,×,102.7,E3820100213111,松山市,2025/1/16
62,道後,愛媛大学教育学部附属小学校（体育館）,松山市持田町1-5-22,○,○,○,×,○,35,E3820100197112,松山市,2025/1/16
63,道後,愛媛大学教育学部附属中学校（体育館）,松山市持田町1-5-22,○,○,○,×,○,35.4,E3820100197111,松山市,2025/1/16
64,味生,味生公民館,松山市別府町177-1,○,○,○,△,○,7.3,E3820100544111,松山市,2025/1/16
65,味生,味生小学校,松山市別府町166-4,○,○,○,△,○,6.2,E3820100543111,松山市,2025/1/16
66,味生,味生第二小学校,松山市別府町3-1,○,○,○,○,△,10.6,E3820100545111,松山市,2025/1/16
67,味生,津田中学校,松山市北斎院町1106,○,○,○,△,×,7.8,E3820100562111,松山市,2025/1/16
68,味生,味生保育園,松山市北斎院町759-1,○,○,○,△,○,6.7,E3820100565111,松山市,2025/1/16
69,味生,済美平成中等教育学校（体育館）,松山市空港通5-6-3,○,○,○,×,○,9.72,E3820100100111,松山市,2025/1/16
70,味生,学校法人新田学園（中央体育館）,松山市山西町663,×,○,×,×,○,4.6,E3820100186111,松山市,2025/1/16
71,生石,生石公民館,松山市高岡町860-67,○,○,○,△,○,6.1,E3820100162111,松山市,2025/1/16
72,生石,生石小学校,松山市高岡町630-3,○,○,○,△,○,6.3,E3820100158111,松山市,2025/1/16
73,生石,西中学校,松山市高岡町409,○,○,○,△,○,6.32,E3820100154111,松山市,2025/1/16
74,生石,生石保育園,松山市高岡町860-1,○,○,○,△,○,5.9,E3820100161111,松山市,2025/1/16
75,生石,生石公民館北吉田分館,松山市北吉田町1237-2,×,○,△,△,○,2.91,E3820100557111,松山市,2025/1/16
76,生石,生石公民館高岡分館,松山市高岡町566,○,○,○,△,○,7.1,E3820100156111,松山市,2025/1/16
77,垣生,垣生公民館,松山市西垣生町1228-2,○,○,○,△,○,4.75,E3820100286111,松山市,2025/1/16
78,垣生,垣生小学校,松山市西垣生町730-1,○,○,△,△,○,3.37,E3820100291111,松山市,2025/1/16
79,垣生,垣生中学校,松山市西垣生町418,○,○,△,△,○,3.12,E3820100290111,松山市,2025/1/16
80,垣生,木の実幼稚園（遊戯場）,松山市西垣生町1690-1,○,×,×,×,○,2.19,E3820100288111,松山市,2025/1/16
81,宮前,宮前公民館,松山市古三津1-26-48,○,×,△,△,○,2.51,E3820100121111,松山市,2025/1/16
82,宮前,宮前小学校,松山市祓川1-3-39,○,×,△,△,○,2.16,E3820100658111,松山市,2025/1/16
83,宮前,中須賀保育園,松山市中須賀1-12-17,○,×,×,△,○,1.9,E3820100350111,松山市,2025/1/16
84,三津浜,三津浜公民館,松山市三津3-2-30,○,○,△,○,○,4.14,E3820100175112,松山市,2025/1/16
85,三津浜,三津浜小学校,松山市梅田町2-42,○,○,△,○,○,3.61,E3820100490111,松山市,2025/1/16
86,三津浜,三津浜中学校,松山市若葉町8-48,○,×,△,△,○,2.67,E3820100204111,松山市,2025/1/16
87,三津浜,三津浜幼稚園,松山市神田町1-41,○,×,×,△,○,2.7,E3820100266111,松山市,2025/1/16
88,三津浜,松山市地域交流センター,松山市三津3-2-30,○,○,△,○,○,4.03,E3820100175111,松山市,2025/1/16
89,高浜,高浜公民館,松山市梅津寺町1335-4,○,○,×,○,△,4.2,E3820100487111,松山市,2025/1/16
90,高浜,高浜小学校,松山市梅津寺町1352-2,○,○,○,○,△,9.8,E3820100488111,松山市,2025/1/16
91,高浜,高浜中学校,松山市梅津寺町乙52,○,○,○,○,△,15.1,E3820100489111,松山市,2025/1/16
92,高浜,高浜保育園,松山市高浜町6-1674,○,×,×,○,△,2.9,E3820100166111,松山市,2025/1/16
93,高浜,高浜公民館新浜分館,松山市新浜町14-28,○,×,×,○,○,1.9,E3820100258111,松山市,2025/1/16
94,高浜,高浜公民館高浜１丁目分館,松山市高浜1-1398-3,○,○,○,○,○,6.2,E3820100164111,松山市,2025/1/16
95,久枝,久枝公民館,松山市西長戸町299,○,○,○,△,○,10.5,E3820100297111,松山市,2025/1/16
96,久枝,久枝小学校,松山市安城寺町586-1,○,○,○,△,○,8.5,E3820100009111,松山市,2025/1/16
97,久枝,みどり小学校,松山市西長戸町493-2,○,○,○,△,○,11.2,E3820100298111,松山市,2025/1/16
98,久枝,久枝公民館船ケ谷分館,松山市船ケ谷町237-1,○,○,○,○,○,15.8,E3820100319111,松山市,2025/1/16
99,久枝,松山盲学校（体育館）,松山市久万ノ台112,○,○,○,×,○,15.59,E3820100086111,松山市,2025/1/16
100,久枝,松山西中等教育学校（体育館）,松山市久万ノ台1485-4,○,○,○,○,○,14.1,E3820100088111,松山市,2025/1/16
101,久枝,学校法人松山聖陵学園 松山聖陵高等学校（体育館）,松山市久万ノ台1112,○,○,○,○,○,24.72,E3820100085111,松山市,2025/1/16
102,潮見,潮見公民館,松山市吉藤4-3-16,○,○,○,△,○,15.4,E3820100065111,松山市,2025/1/16
103,潮見,潮見小学校,松山市吉藤4-7-13,○,○,○,○,○,14.5,E3820100066111,松山市,2025/1/16
104,潮見,鴨川中学校,松山市鴨川2-7-19,○,○,○,○,○,11.2,E3820100060111,松山市,2025/1/16
105,潮見,潮見公民館平田分館,松山市平田町272-4,×,○,○,○,○,8.8,E3820100540111,松山市,2025/1/16
106,潮見,潮見公民館吉藤分館,松山市吉藤5-19-20,○,○,○,△,○,24.2,E3820100067111,松山市,2025/1/16
107,潮見,潮見公民館谷分館,松山市谷町甲260-3,○,○,○,○,○,15.9,E3820100346111,松山市,2025/1/16
108,和気,和気公民館,松山市太山寺町1226-1,○,×,△,△,○,3.3,E3820100323111,松山市,2025/1/16
109,和気,和気小学校,松山市太山寺町671-3,○,×,△,△,○,2.4,E3820100330111,松山市,2025/1/16
110,和気,北中学校,松山市太山寺町491-1,○,○,○,○,○,4.9,E3820100329111,松山市,2025/1/16
111,和気,和気公民館勝岡分館,松山市勝岡町112,○,×,×,△,○,1.5,E3820100215111,松山市,2025/1/16
112,和気,和気公民館太山寺分館,松山市太山寺町1593-2,○,○,○,○,△,13.1,E3820100327111,松山市,2025/1/16
113,和気,和気公民館朝汐分館,松山市和気町2-925-2,○,×,×,△,○,1.37,E3820100650111,松山市,2025/1/16
114,和気,松山聾学校（体育館）,松山市馬木町2325,○,○,×,○,○,4.5,E3820100486111,松山市,2025/1/16
115,堀江,堀江公民館,松山市堀江町甲1400-1,○,○,△,○,○,4.81,E3820100597111,松山市,2025/1/16
116,堀江,堀江小学校,松山市福角町甲1409-2,○,○,○,△,○,9.3,E3820100524111,松山市,2025/1/16
117,堀江,内宮中学校,松山市内宮町569-1,○,○,○,○,○,5.8,E3820100451111,松山市,2025/1/16
118,堀江,堀江保育園,松山市堀江町甲1654-9,○,×,×,×,○,1.3,E3820100598111,松山市,2025/1/16
119,堀江,堀江公民館東大栗分館,松山市東大栗町780-1,○,○,○,○,○,140.5,E3820100424111,松山市,2025/1/16
120,堀江,堀江公民館大西二分館,松山市堀江町甲863-5,×,×,×,×,○,3.31,E3820100601111,松山市,2025/1/16
121,堀江,四国電設工業株式会社松山営業所,松山市堀江町甲805-8,○,△,△,△,○,1.79,E3820100671111,松山市,2025/1/16
122,余土,余土公民館,松山市余戸東4-4-34,○,○,○,△,○,8.43,E3820100634111,松山市,2025/1/16
123,余土,余土小学校,松山市余戸東1-14-17,○,○,○,△,○,8.99,E3820100631111,松山市,2025/1/16
